"0032";"0001";"2F";"6";"AUTO APN - Queries GGSN for Default APN if Blank in Websession";"ON";"Off"
"0032";"0001";"30";"5";"Menu: Office Tools > Dialing Services > Quick Dial (Allow Edit)";"ON";"Off"
"0032";"0001";"30";"6";"Menu: Settings > Personalize > Home Screen > Banner";"ON";"Off"
"0032";"0001";"30";"7";"Menu: Settings > Personalize > Greeting";"ON";"Off"
"0032";"0001";"31";"0";"Motorola Animation on Shutdown";"ON";"Off"
"0032";"0001";"33";"6";"Menu: Settings > Initial Setup > Backlight > Color";"ON";"Off"
"0032";"0001";"34";"3";"Display Roam Triangle Icon";"ON";"Off"
"0032";"0001";"34";"6";"Menu: Settings > Phone Status > PRI Checksum";"ON";"Off"
"0032";"0001";"37";"1";"Display S/W Flex and Other Information via *#9999#";"ON";"Off"
"0032";"0001";"37";"2";"Menu: Settings > Initial Setup > Status Light";"ON";"Off"
"0032";"0001";"38";"1";"Ringtone: Continental";"ON";"Off"
"0032";"0001";"38";"2";"Ringtone: Classic";"ON";"Off"
"0032";"0001";"38";"3";"Ringtone: Attention";"ON";"Off"
"0032";"0001";"3B";"2";"Ringtone: Vib-Dot";"ON";"Off"
"0032";"0001";"3B";"3";"Ringtone: Vib-Dot-Dash";"ON";"Off"
"0032";"0001";"3B";"4";"Ringtone: Vib-Dash-Dot";"ON";"Off"
"0032";"0001";"3B";"5";"Ringtone: Vib-Dot-Dash";"ON";"Off"
"0032";"0001";"3B";"6";"Ringtone: Vib-Pulse";"ON";"Off"
"0032";"0001";"3D";"1";"Menu: Messages > New Short Message > Receipt (SMS Delivery Reports)";"ON";"Off"
"0032";"0001";"3D";"3";"SMS Character Counter (450 to 0) or (0 to 450)";"450 to 0";"0 to 450"
"0032";"0001";"3E";"4";"Link Phonebook Number Formatting with Incoming Caller ID xxx-xxxx = xxx-xxx-xxxx";"ON";"Off"
"0032";"0001";"3E";"5";"Menu: Office Tools > Quick Menu (Custom Operator Menus/Requires Operator FLEX)";"ON";"Off"
"0032";"0001";"3F";"6";"Menu: Settings > Security > Restrict Calls";"ON";"Off"
"0032";"0001";"40";"1";"Display GPRS Attached Icon";"ON";"Off"
